dataset,mode,route_bits,route_strategy,top_p,prefetch_distance,ef,graph_fingerprint,route_fingerprint,index_bytes,recall,qps,avg_latency_us,p50_us,p95_us,p99_us,route_top4_float_top1_coverage,route_top8_float_top4_coverage,visited_nodes,distance_computations,neighbors_seen,neighbors_unvisited,route_scored,priority_full_count,remaining_full_count,route_score_us,top_p_select_us,full_distance_us,queue_update_us,traversal_us,route_oracle_samples,route_top1_matches_float_top1,route_top4_contains_float_top1,route_top8_float_top4_hits,route_top8_float_top4_total
dbpedia,route_priority,6,high_variance,4,8,96,10578023270251871138,15286360507271433507,1159832224,0.94352,611.6257132864766,1632.20732308,1633.3020000000001,2122.8876999999998,2420.07878,0.254173119944932,0.4465655433939498,1730.5306,1730.5306,2316.4534,1605.9284,1605.9284,390.468,1215.4604,60.32818359999997,34.4089558,1244.8226111999984,0.0,1564.5180458000013,1.1622,0.0744,0.2954,2.0726,4.6412
dbpedia,route_priority,6,high_variance,4,8,128,10578023270251871138,15286360507271433507,1159832224,0.9496,486.8799322663837,2050.96384536,2059.5685,2677.59175,3012.5043499999992,0.32956817273090766,0.5452803066602779,2161.1894,2161.1894,3060.2412,2036.5872,2036.5872,514.1852,1522.402,76.31264039999992,43.0248354,1578.866524200001,0.0,1983.3199815999926,2.0008,0.1812,0.6594,4.3244,7.9306
dbpedia,route_priority,6,high_variance,4,8,192,10578023270251871138,15286360507271433507,1159832224,0.95548,358.48444277225764,2786.46801588,2797.5195,3700.0663999999997,4113.89207,0.33339849477079464,0.5491574766239854,2977.8842,2977.8842,4555.4248,2853.282,2853.282,760.6502,2092.6318,106.39433180000005,59.99319100000002,2207.824308400004,0.0,2711.123116799997,2.0462,0.1888,0.6822,4.4518,8.1066
dbpedia,route_priority,6,high_variance,4,8,256,10578023270251871138,15286360507271433507,1159832224,0.95834,284.03629153822953,3517.70856628,3529.1025,4726.63025,5226.8063899999925,0.37657321702070984,0.6040043363371502,3750.0314,3750.0314,6050.3076,3625.4292,3625.4292,1004.4714,2620.9578,135.52888520000013,75.49135219999994,2813.9848170000027,0.0,3447.6479167999914,3.0034,0.3234,1.131,7.1316,11.8072
dbpedia,route_priority,6,high_variance,4,8,460,10578023270251871138,15286360507271433507,1159832224,0.96282,176.33622314879497,5667.71477404,5685.309,7784.90135,8589.96703,0.4314895662274202,0.6628148117577871,6028.8776,6028.8776,10818.8032,5904.2754,5904.2754,1767.4638,4136.8116,223.12038800000045,122.05908260000011,4566.925558000009,0.0,5560.819146599974,4.9934,0.6628,2.1546,12.8484,19.3846
dbpedia,route_priority,6,high_variance,8,8,64,10578023270251871138,15286360507271433507,1159832224,0.92758,809.365029983985,1232.71551688,1227.272,1602.04955,1936.0300199999986,0.23745019920318725,0.41451267493401067,1274.476,1274.476,1572.4744,1149.8738,1149.8738,520.0454,629.8284,43.5416277999999,24.670520799999988,888.2380233999995,0.0,1149.4716169999963,1.004,0.0618,0.2384,1.6646,4.0158
dbpedia,route_priority,6,high_variance,8,8,96,10578023270251871138,15286360507271433507,1159832224,0.94352,608.7154333547103,1639.97580948,1641.0095000000001,2134.66365,2442.3693599999974,0.254173119944932,0.4465655433939498,1730.5306,1730.5306,2316.4534,1605.9284,1605.9284,758.4876,847.4408,62.95919340000008,34.123664000000055,1260.3486131999955,0.0,1586.5864882000005,1.1622,0.0744,0.2954,2.0726,4.6412
dbpedia,route_priority,6,high_variance,8,8,128,10578023270251871138,15286360507271433507,1159832224,0.9496,484.9214019988467,2059.28066832,2067.9695,2695.2319500000003,3028.9069599999993,0.32956817273090766,0.5452803066602779,2161.1894,2161.1894,3060.2412,2036.5872,2036.5872,992.1844,1044.4028,75.98158219999993,42.99612460000007,1588.1078095999983,0.0,1992.7106987999953,2.0008,0.1812,0.6594,4.3244,7.9306
dbpedia,route_priority,6,high_variance,8,8,192,10578023270251871138,15286360507271433507,1159832224,0.95548,357.7866608706781,2792.01290976,2804.834,3709.3179499999997,4147.633099999996,0.33339849477079464,0.5491574766239854,2977.8842,2977.8842,4555.4248,2853.282,2853.282,1451.856,1401.426,105.95077259999995,59.68516180000013,2206.369435800003,0.0,2708.985677799993,2.0462,0.1888,0.6822,4.4518,8.1066
dbpedia,route_priority,6,high_variance,8,8,256,10578023270251871138,15286360507271433507,1159832224,0.95834,281.537014168324,3548.75926908,3562.911,4782.0488,5309.108079999999,0.37657321702070984,0.6040043363371502,3750.0314,3750.0314,6050.3076,3625.4292,3625.4292,1900.7446,1724.6846,137.10440580000008,75.35283679999993,2827.7133555999976,0.0,3466.3848516000076,3.0034,0.3234,1.131,7.1316,11.8072
dbpedia,route_priority,6,high_variance,8,8,460,10578023270251871138,15286360507271433507,1159832224,0.96282,175.52218402048118,5694.16996136,5709.0419999999995,7827.56415,8599.770149999997,0.4314895662274202,0.6628148117577871,6028.8776,6028.8776,10818.8032,5904.2754,5904.2754,3279.3988,2624.8766,226.43646539999992,121.44064900000016,4592.874177799999,0.0,5595.357404999997,4.9934,0.6628,2.1546,12.8484,19.3846
